Frame,X,Y
1,1544,877
2,1498,854
3,1468,838
4,1441,825
5,1416,814
6,1393,806
7,1370,804
8,1347,807
9,1325,813
10,1303,820
11,1283,826
12,1266,833
13,1249,841
14,1234,849
15,1220,859
16,1206,872
17,1193,889
18,1181,907
19,1170,925
20,1160,944
21,1152,961
22,1143,976
23,1136,982
24,1128,974
25,1120,962
26,1112,947
27,1106,937
28,1100,926
29,1096,919
30,1093,920
31,1091,926
32,1090,935
33,1091,948
34,1095,968
35,1097,977
36,1098,974
37,1099,963
38,1100,950
39,1102,941
40,1104,935
41,1105,930
42,1106,925
43,1106,922
44,1107,920
45,1109,922
46,1111,924
47,1112,927
48,1113,931
49,1113,935
50,1115,940
51,1118,950
52,1122,962
53,1126,971
54,1130,974
55,1135,969
56,1139,959
57,1144,949
58,1148,941
59,1152,933
60,1159,927
61,1169,921
62,1179,916
63,1190,912
64,1200,909
65,1211,907
66,1221,903
67,1230,899
68,1240,895
69,1251,893
70,1262,893
71,1271,895
72,1276,900
73,1281,906
74,1289,913
75,1296,919
76,1304,927
77,1312,936
78,1321,945
79,1330,955
80,1340,964
81,1350,972
82,1361,974
83,1371,968
84,1381,959
85,1392,949
86,1402,940
87,1413,932
88,1425,926
89,1437,921
90,1450,917
91,1463,916
92,1477,915
93,1492,914
94,1507,915
95,1522,915
96,1537,917
97,1553,919
98,1568,921
99,1584,921
100,1599,920
101,1608,919
102,1604,919
103,1592,918
104,1577,919
105,1565,918
106,1553,916
107,1541,914
108,1531,913
109,1521,912
110,1512,911
111,1503,910
112,1494,910
113,1486,910
114,1479,911
115,1472,913
116,1466,916
117,1460,919
118,1455,923
119,1451,928
120,1446,932
121,1442,937
122,1438,942
123,1435,948
124,1433,955
125,1432,963
126,1430,970
127,1430,971
128,1430,965
129,1431,957
130,1431,951
131,1433,946
132,1435,942
133,1437,938
134,1440,935
135,1444,933
136,1448,932
137,1452,931
138,1457,931
139,1462,932
140,1468,933
141,1474,934
142,1481,936
143,1488,938
144,1496,941
145,1504,945
146,1513,949
147,1522,954
148,1531,959
149,1541,966
150,1551,971
151,1562,968
152,1572,962
153,1584,957
154,1595,954
155,1602,950
156,1602,947
157,1594,944
158,1584,942
159,1573,941
160,1560,941
161,1548,942
162,1539,941
163,1533,933
164,1529,926
165,1528,927
166,1532,934
167,1540,939
168,1549,942
169,1559,944
170,1570,947
171,1579,948
172,1584,945
173,1590,941
174,1596,939
175,1594,939
176,1588,940
177,1583,943
178,1579,945
179,1571,948
180,1563,945
181,1555,941
182,1548,936
183,1541,932
184,1535,928
185,1533,926
186,1535,929
187,1540,933
188,1545,938
189,1551,943
190,1558,947
191,1565,946
192,1572,941
193,1576,938
194,1576,940
195,1569,944
196,1563,947
197,1556,945
198,1550,943
199,1544,942
200,1541,938
201,1540,935
202,1538,933
203,1536,932
204,1534,933
205,1532,934
206,1534,934
207,1536,934
208,1538,935
209,1540,937
210,1542,940
211,1546,943
212,1550,944
213,1555,945
214,1560,946
215,1566,947
216,1572,946
217,1575,945
218,1570,945
219,1565,945
220,1565,945
221,1555,947
222,1555,947
223,1554,944
224,1555,941
225,1557,938
226,1559,935
227,1560,933
228,1562,931
229,1563,931
230,1564,934
231,1564,937
232,1565,941
233,1565,945
234,1565,948
235,1566,944
236,1568,940
237,1571,937
238,1571,939
239,1569,943
240,1568,946
241,1568,947
242,1569,943
243,1570,941
244,1572,938
245,1571,939
246,1570,943
247,1570,946
248,1572,948
249,1573,945
250,1571,943
251,1569,941
252,1568,941
253,1568,942
254,1567,944
255,1567,946
256,1568,947
257,1570,945
258,1572,944
259,1573,942
260,1571,941
261,1570,941
262,1569,940
263,1570,941
264,1226,518
265,1193,507
266,1165,495
267,1139,481
268,1113,467
269,1090,454
270,1071,446
271,1056,438
272,1041,429
273,1027,420
274,1014,411
275,1002,402
276,991,393
277,985,384
278,981,370
279,977,357
280,974,346
281,976,345
282,984,351
283,991,357
284,999,364
285,1007,371
286,1015,378
287,1022,386
288,1030,393
289,1040,401
290,1052,408
291,1065,414
292,1078,420
293,1092,424
294,1108,428
295,1126,434
296,1145,441
297,1164,448
298,1183,456
299,1203,463
300,1222,470
301,1239,475
302,1254,480
303,1268,482
304,1282,476
305,1295,469
306,1308,461
307,1319,448
308,1331,433
309,1344,417
310,1358,401
311,1372,384
312,1382,366
313,1387,348
314,1387,334
315,1386,321
316,1385,311
317,1387,301
318,1390,295
319,1392,293
320,1392,291
321,1390,288
322,1388,288
323,1385,289
324,1382,289
325,1380,289
326,1380,289
327,1381,289
328,1383,289
329,1385,290
330,1386,288
331,1388,288
332,1391,289
333,1394,288
334,1395,288
335,1396,288
336,1395,288
337,1393,288
338,1392,288
339,1393,288
340,1393,289
341,1392,289
342,1393,289
343,1394,288
344,1393,288
345,1393,288
346,1393,288
347,1393,288
348,1393,288
349,1393,288
350,1393,288
351,1393,288
352,1393,288
353,1393,288
354,1393,288
355,1393,288
356,1393,288
357,1393,288
358,1393,288
359,1393,288
360,1393,288
361,1393,288
362,1394,288
363,1394,288
364,1393,288
365,1393,288
366,627,830
367,659,776
368,693,721
369,722,672
370,745,631
371,765,597
372,785,563
373,805,533
374,829,505
375,852,485
376,877,469
377,902,455
378,924,444
379,943,433
380,963,421
381,981,409
382,1000,396
383,1019,383
384,1037,370
385,1057,357
386,1077,343
387,1098,332
388,1121,324
389,1145,314
390,1168,308
391,1190,302
392,1209,299
393,1230,295
394,1251,291
395,1273,288
396,1295,284
397,1317,281
398,1336,277
399,1353,275
400,1368,275
401,1384,281
402,1400,290
403,1416,302
404,1428,317
405,1440,328
406,1451,340
407,1460,356
408,1467,372
409,1475,388
410,1489,401
411,1507,406
412,1528,410
413,1549,413
414,1571,415
415,1595,417
416,1613,419
417,1613,421
418,1596,424
419,1578,426
420,1566,427
421,1554,427
422,1548,425
423,1548,421
424,1553,413
425,1559,406
426,1561,401
427,1559,394
428,1557,385
429,1556,377
430,1554,369
431,1552,361
432,1550,353
433,1548,348
434,1543,345
435,1543,340
436,1545,334
437,1544,331
438,1539,329
439,1539,326
440,1543,324
441,1543,322
442,1541,320
443,1539,317
444,1540,314
445,1542,311
446,1544,308
447,1547,305
448,1549,303
449,1547,303
450,1543,302
451,1541,300
452,1542,297
453,1543,295
454,1545,292
455,1546,289
456,1549,287
457,1553,284
458,1556,282
459,1558,279
460,1562,275
461,1569,273
462,1581,271
463,1593,269
464,1602,268
465,1602,267
466,1595,267
467,1583,267
468,1572,267
469,1567,271
470,1569,277
471,1575,285
472,1582,291
473,1590,298
474,1596,305
475,1596,311
476,1591,319
477,1584,326
478,1578,333
479,1573,340
480,1569,347
481,1565,354
482,1570,358
483,1577,360
484,1585,363
485,1594,365
486,1598,367
487,1597,370
488,1591,372
489,1583,375
490,1576,377
491,1571,381
492,1568,384
493,1571,388
494,1577,391
495,1583,395
496,1589,399
497,1595,401
498,1596,403
499,1589,406
500,1583,410
501,1578,413
502,1575,416
503,1577,419
504,1582,421
505,1588,423
506,1594,424
507,1595,424
508,1588,424
509,1583,423
510,1578,423
511,1576,423
512,1581,423
513,1585,423
514,1591,424
515,1595,424
516,1591,423
517,1585,422
518,1581,420
519,1579,418
520,1577,415
521,1576,412
522,1576,409
523,1577,407
524,1580,405
525,1583,404
526,1588,404
527,1593,403
528,1593,404
529,1589,405
530,1585,407
531,1583,408
532,1581,408
533,1580,406
534,1580,405
535,1579,404
536,1580,403
537,1581,402
538,1583,401
539,1586,401
540,1589,401
541,1593,401
542,1591,401
543,1588,402
544,1585,401
545,1583,401
546,1583,401
547,1585,401
548,1587,401
549,1591,402
550,1593,403
551,1590,405
552,1588,407
553,1586,408
554,1587,409
555,1589,410
556,1592,411
557,1592,411
558,1589,412
559,1587,413
560,1587,415
561,1587,417
562,1587,417
563,1587,418
564,1586,418
565,1586,418
566,1586,419
567,1586,419
568,1586,419
569,1587,419
570,1588,420
571,1590,420
572,1593,419
573,1591,419
574,1589,419
575,1588,419
576,1589,419
577,1591,419
578,1593,419
579,1591,419
580,1589,419
581,1589,419
582,1589,419
583,640,699
584,650,658
585,656,624
586,660,596
587,662,573
588,661,555
589,657,541
590,653,529
591,649,518
592,644,507
593,639,497
594,633,488
595,624,486
596,613,486
597,602,486
598,590,488
599,578,489
600,566,494
601,552,502
602,536,510
603,521,520
604,504,532
605,486,544
606,470,561
607,458,578
608,449,595
609,448,613
610,457,630
611,468,649
612,481,667
613,496,683
614,510,701
615,525,718
616,540,736
617,554,754
618,569,772
619,581,788
620,594,800
621,603,812
622,612,825
623,616,838
624,615,854
625,613,870
626,612,886
627,611,902
628,610,919
629,608,936
630,604,952
631,602,966
632,598,975
633,595,972
634,591,960
635,586,948
636,580,935
637,572,922
638,564,911
639,556,900
640,546,890
641,536,881
642,526,871
643,515,861
644,507,851
645,500,842
646,493,835
647,490,830
648,485,827
649,479,824
650,473,822
651,472,821
652,478,821
653,483,822
654,489,823
655,493,824
656,495,827
657,499,831
658,505,838
659,511,845
660,517,854
661,521,865
662,525,877
663,524,888
664,518,897
665,507,902
666,498,907
667,487,911
668,482,917
669,477,923
670,473,929
671,474,936
672,477,944
673,479,950
674,480,951
675,481,947
676,481,941
677,480,935
678,479,931
679,477,929
680,473,924
681,473,920
682,477,917
683,478,913
684,477,912
685,474,912
686,473,912
687,475,914
688,477,916
689,477,919
690,477,923
691,476,927
692,473,931
693,473,936
694,476,941
695,478,947
696,479,946
697,480,941
698,478,938
699,473,938
700,473,937
701,477,938
702,479,939
703,479,943
704,478,947
705,477,943
706,476,939
707,474,936
708,473,933
709,473,930
710,474,927
711,474,925
712,473,923
713,474,921
714,473,922
715,474,923
716,474,924
717,473,925
718,474,926
719,475,927
720,474,928
721,473,929
722,475,930
723,474,931
724,473,929
725,475,928
726,474,927
727,473,928
728,474,929
729,474,930
730,473,929
731,473,928
732,473,927
733,473,927
734,473,929
735,473,929
736,474,928
737,474,928
738,473,927
739,1054,657
740,1044,594
741,1036,537
742,1030,488
743,1029,447
744,1027,408
745,1025,371
746,1022,337
747,1020,302
748,1017,269
749,1015,236
750,1013,204
751,1012,171
752,1010,139
753,1008,106
754,1007,85
755,1006,95
756,1005,115
